127.0.0.1, 2013-10-22 10:39:26, GET, /admin/static/_2.7.3/js/web2py.js, HTTP/1.1, 304, 0.000223
127.0.0.1, 2013-10-22 10:39:26, GET, /admin/static/_2.7.3/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000571
127.0.0.1, 2013-10-22 10:39:26, GET, /admin/static/_2.7.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000325
127.0.0.1, 2013-10-22 10:39:26, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000243
127.0.0.1, 2013-10-22 10:39:26, GET, /admin/static/_2.7.3/css/bootstrap.min.css, HTTP/1.1, 304, 0.000366
127.0.0.1, 2013-10-22 10:39:26, GET, /admin/static/_2.7.3/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000238
127.0.0.1, 2013-10-22 10:39:26, GET, /admin/static/_2.7.3/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000241
127.0.0.1, 2013-10-22 10:39:26, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000241
127.0.0.1, 2013-10-22 10:39:26, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000342
127.0.0.1, 2013-11-06 11:12:36, GET, /, HTTP/1.1, 303, 0.000904
127.0.0.1, 2013-11-06 11:12:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.742313
127.0.0.1, 2013-11-06 11:12:37, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.022746
127.0.0.1, 2013-11-06 11:12:37, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.022181
127.0.0.1, 2013-11-06 11:12:37, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.021981
127.0.0.1, 2013-11-06 11:12:37, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.023881
127.0.0.1, 2013-11-06 11:12:37, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.053282
127.0.0.1, 2013-11-06 11:12:37, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.052526
127.0.0.1, 2013-11-06 11:12:37, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004606
127.0.0.1, 2013-11-06 11:12:37, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000349
127.0.0.1, 2013-11-06 11:12:37, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000357
127.0.0.1, 2013-11-06 11:12:37, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.038316
127.0.0.1, 2013-11-06 11:12:37, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000368
127.0.0.1, 2013-11-06 11:12:37, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000295
127.0.0.1, 2013-11-06 11:12:37, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000294
127.0.0.1, 2013-11-06 11:12:38, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000389
127.0.0.1, 2013-11-06 11:12:38, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000286
127.0.0.1, 2013-11-06 11:12:38, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000430
127.0.0.1, 2013-11-06 11:12:45, GET, /admin/default/site, HTTP/1.1, 303, 0.270670
127.0.0.1, 2013-11-06 11:12:46, GET, /admin/default/index, HTTP/1.1, 200, 0.213114
127.0.0.1, 2013-11-06 11:12:46, GET, /admin/static/_2.7.3/js/calendar.js, HTTP/1.1, 200, 0.029416
127.0.0.1, 2013-11-06 11:12:46, GET, /admin/static/_2.7.3/js/web2py.js, HTTP/1.1, 200, 0.030019
127.0.0.1, 2013-11-06 11:12:46, GET, /admin/static/_2.7.3/js/jquery.js, HTTP/1.1, 200, 0.031323
127.0.0.1, 2013-11-06 11:12:46, GET, /admin/static/_2.7.3/css/calendar.css, HTTP/1.1, 200, 0.064542
127.0.0.1, 2013-11-06 11:12:46, GET, /admin/static/_2.7.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.063914
127.0.0.1, 2013-11-06 11:12:46, GET, /admin/static/_2.7.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.063809
127.0.0.1, 2013-11-06 11:12:46, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.012693
127.0.0.1, 2013-11-06 11:12:46, GET, /admin/static/_2.7.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.000307
127.0.0.1, 2013-11-06 11:12:46, GET, /admin/static/_2.7.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000421
127.0.0.1, 2013-11-06 11:12:46, GET, /admin/static/_2.7.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000360
127.0.0.1, 2013-11-06 11:12:46, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000343
127.0.0.1, 2013-11-06 11:12:46, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000369
127.0.0.1, 2013-11-06 11:12:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000275
127.0.0.1, 2013-11-06 11:12:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
127.0.0.1, 2013-11-06 11:12:49, POST, /admin/default/index, HTTP/1.1, 303, 0.053542
127.0.0.1, 2013-11-06 11:12:50, GET, /admin/default/site, HTTP/1.1, 200, 0.055694
127.0.0.1, 2013-11-06 11:12:50, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 200, 0.000407
127.0.0.1, 2013-11-06 11:12:50, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 200, 0.000297
127.0.0.1, 2013-11-06 11:12:50, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000399
127.0.0.1, 2013-11-06 11:12:50, POST, /admin/default/check_version, HTTP/1.1, 200, 0.531237
127.0.0.1, 2013-11-06 11:13:10, POST, /admin/default/site, HTTP/1.1, 303, 0.088015
127.0.0.1, 2013-11-06 11:13:10, GET, /admin/default/design/Performatrix, HTTP/1.1, 200, 0.165830
127.0.0.1, 2013-11-06 11:13:10, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000497
127.0.0.1, 2013-11-06 11:13:10, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000343
127.0.0.1, 2013-11-06 11:13:10, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000279
127.0.0.1, 2013-11-06 11:13:10, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000299
127.0.0.1, 2013-11-06 11:13:26, GET, /admin/default/site, HTTP/1.1, 200, 0.044785
127.0.0.1, 2013-11-06 11:13:34, GET, /admin/default/design/Performatrix, HTTP/1.1, 200, 0.095909
127.0.0.1, 2013-11-06 11:13:41, GET, /admin/default/test/Performatrix, HTTP/1.1, 200, 0.049778
127.0.0.1, 2013-11-06 11:13:42, POST, /Performatrix/default/_TEST, HTTP/1.1, 200, 1.036944
